"cmdName","Description","Link","Authors","Letter"
"_gapport","stata module to calculates seats in party-list proportional representation","https://econpapers.repec.org/software/bocbocode/s457243.htm","`Ulrich Kohler`","_"
"_gclsort","stata module to sort a single variable via egen","https://econpapers.repec.org/software/bocbocode/s424801.htm","`Philippe Van Kerm`","_"
"_gdistinct","stata module providing egen function to count distinct values","https://econpapers.repec.org/software/bocbocode/s459362.htm","`Noah Case`","_"
"_gprod","stata module to extend egen for product of observations","https://econpapers.repec.org/software/bocbocode/s382501.htm","`Philip Ryan`","_"
"_grmedf","stata module to compute row medians with egen","https://econpapers.repec.org/software/bocbocode/s413301.htm","`Stanislav Kolenikov`","_"
"_grndraw","stata module for random number generation from the gb2, singh-maddala, dagum, fisk and pareto distributions","https://econpapers.repec.org/software/bocbocode/s458350.htm","`Philippe Van Kerm`","_"
"_grpos","stata module to identify observations with at least n positive values","https://econpapers.repec.org/software/bocbocode/s396201.htm","`Fred Wolfe`","_"
"_grprod","stata module to extend generate to produce row products","https://econpapers.repec.org/software/bocbocode/s415603.htm","`Philip Ryan`","_"
"_gslope","stata module to compute simple regression slope","https://econpapers.repec.org/software/bocbocode/s372501.htm","`Jeroen Weesie`","_"
"_gsoundex","stata module to implement soundex algorithm","https://econpapers.repec.org/software/bocbocode/s420901.htm","`Michael Blasnik`","_"
"_gstd01","stata modules to standardize a variable","https://econpapers.repec.org/software/bocbocode/s416601.htm","`Stanislav Kolenikov`","_"
"_gvreldif","stata module to compute relative difference between successive observations","https://econpapers.repec.org/software/bocbocode/s457200.htm","`Stanislav Kolenikov`","_"
"_gwmean","stata module to compute optionally weighted means","https://econpapers.repec.org/software/bocbocode/s458928.htm","`Gueorgui Kolev`","_"
"_gwtmean","stata module containing extensions to generate to implement weighted mean","https://econpapers.repec.org/software/bocbocode/s418804.htm","`David Kantor`","_"
"_peers","stata module to allow egen to compute the average characteristics of peers in a given unit (school, firm, etc.) specified by by()","https://econpapers.repec.org/software/bocbocode/s456946.htm","`Amine Ouazad`","_"
"a2reg","stata module to estimate models with two fixed effects","https://econpapers.repec.org/software/bocbocode/s456942.htm","`Amine Ouazad`","A"
"aaniv","stata module to compute unbiased iv regression","https://econpapers.repec.org/software/bocbocode/s458664.htm","`Austin Nichols`","A"
"aaplot","stata module for scatter plot with linear and/or quadratic fit, automatically annotated","https://econpapers.repec.org/software/bocbocode/s457286.htm","`Nicholas Cox`","A"
"ab2022","stata module to provide gradient solver for ahlfeldt & barr (2022): the economics of skyscrapers","https://econpapers.repec.org/software/bocbocode/s459300.htm","`Gabriel Ahlfeldt`","A"
"abar","stata module to perform arellano-bond test for autocorrelation","https://econpapers.repec.org/software/bocbocode/s437501.htm","`David Roodman`","A"
"abg","stata module to implement the alpha-beta-gamma method of distributional analysis","https://econpapers.repec.org/software/bocbocode/s457936a.htm","`Louis Chauvel`","A"
"ablags","rats procedure to generate arellano-bond set of instruments","https://econpapers.repec.org/software/bocbocode/rts00001.htm","`Tom Doan`","A"
"aboutreg","stata module providing tutorial on regression diagnostics","https://econpapers.repec.org/software/bocbocode/s416602.htm","`Stanislav Kolenikov`","A"
"abrs","stata module to provide toolkit for counterfactuals based on a spatial equilibrium framework with heterogenous preferences by ahlfeldt, bald, roth, seidel: “measuring quality of life under spatial frictions""","https://econpapers.repec.org/software/bocbocode/s459302.htm","`Gabriel Ahlfeldt`","A"
"abrsqol","stata module providing quality-of-life solver for ""measuring quality of life under spatial frictions""","https://econpapers.repec.org/software/bocbocode/s459382.htm","`Gabriel Ahlfeldt`,` Fabian Bald`,` Duncan Roth`,` Tobias Seidel`","A"
"absdid","stata module to estimate treatment effect with abadie semiparametric did estimator","https://econpapers.repec.org/software/bocbocode/s458134.htm","`Kenneth Houngbedji`","A"
"acelong","stata module to fit multilevel mixed-effects ace, ae and ade variance decomposition models","https://econpapers.repec.org/software/bocbocode/s458402.htm","`Volker Lang`","A"
